Time Distance Ego_vehicle_velocity Leading_vehicle_velocity
3.391959798994974307e+01 1.634940260961854008e+01 9.431555807392255630e+00 1.000000000000000000e+01
3.417085427135678088e+01 1.648455767322366228e+01 9.491275827360651007e+00 1.000000000000000000e+01
3.442211055276381870e+01 1.660566467210329122e+01 9.543565446384272732e+00 1.000000000000000000e+01
3.467336683417084942e+01 1.671445710236330839e+01 9.589457918793394597e+00 1.000000000000000000e+01
3.492462311557788723e+01 1.681242933176689647e+01 9.629828457065961800e+00 1.000000000000000000e+01
3.517587939698492505e+01 1.690087279801351272e+01 9.665421187038017337e+00 1.000000000000000000e+01
3.542713567839195576e+01 1.698090612056907744e+01 9.696870866343898498e+00 1.000000000000000000e+01
3.567839195979899358e+01 1.705350028754158487e+01 9.724720535690895673e+00 1.000000000000000000e+01
3.592964824120602430e+01 1.711949982470851594e+01 9.749435975163535772e+00 1.000000000000000000e+01
3.618090452261306211e+01 1.717964066287336422e+01 9.771417624709247463e+00 1.000000000000000000e+01
3.643216080402009993e+01 1.723456527457569365e+01 9.791010473107457202e+00 1.000000000000000000e+01
3.668341708542713064e+01 1.728483553951472729e+01 9.808512305645157525e+00 1.000000000000000000e+01
3.693467336683416846e+01 1.733094371120215982e+01 9.824180615620077717e+00 1.000000000000000000e+01
3.718592964824119917e+01 1.737332178913575831e+01 9.838238420561792097e+00 1.000000000000000000e+01
3.743718592964823699e+01 1.741234954668888335e+01 9.850879175050414105e+00 1.000000000000000000e+01
3.768844221105527481e+01 1.744836142164825077e+01 9.862270934230686237e+00 1.000000000000000000e+01
3.793969849246230552e+01 1.748165244145974029e+01 9.872559892712599705e+00 1.000000000000000000e+01
3.819095477386934334e+01 1.751248332692864906e+01 9.881873400454489698e+00 1.000000000000000000e+01
3.844221105527638116e+01 1.754108489497977530e+01 9.890322538932306173e+00 1.000000000000000000e+01
3.869346733668341187e+01 1.756766186205439695e+01 9.898004326295671618e+00 1.000000000000000000e+01
3.894472361809044969e+01 1.759239613398779056e+01 9.905003608466746101e+00 1.000000000000000000e+01
3.919597989949748751e+01 1.761544965513654404e+01 9.911394683627218427e+00 1.000000000000000000e+01
3.944723618090451822e+01 1.763696687861038370e+01 9.917242699787433224e+00 1.000000000000000000e+01
3.969849246231155604e+01 1.765707691031434834e+01 9.922604858776884029e+00 1.000000000000000000e+01
3.994974874371858675e+01 1.767589537180928616e+01 9.927531454756774565e+00 1.000000000000000000e+01
4.020100502512562457e+01 1.769352602050043544e+01 9.932066771015348294e+00 1.000000000000000000e+01
4.045226130653266239e+01 1.771006216016121115e+01 9.936249855194356329e+00 1.000000000000000000e+01
4.070351758793969310e+01 1.772558787012748382e+01 9.940115190075839990e+00 1.000000000000000000e+01
4.095477386934673092e+01 1.774017907752128664e+01 9.943693274525115200e+00 1.000000000000000000e+01
4.120603015075376163e+01 1.775390449347106525e+01 9.947011127052924451e+00 1.000000000000000000e+01
4.145728643216079945e+01 1.776682643139691820e+01 9.950092722658238742e+00 1.000000000000000000e+01
